Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2022-09-06 00:00:00,1726.5999755859375,1729.9000244140625,1726.199951171875,1729.0999755859375,0
2022-09-06 01:00:00,1728.699951171875,1730.0,1725.9000244140625,1726.5,2672
2022-09-06 02:00:00,1731.199951171875,1731.699951171875,1726.9000244140625,1728.5999755859375,4448
2022-09-06 03:00:00,1726.800048828125,1731.0999755859375,1724.5999755859375,1731.0999755859375,8287
2022-09-06 04:00:00,1724.300048828125,1727.0,1723.5999755859375,1726.699951171875,5673
2022-09-06 05:00:00,1722.0999755859375,1724.199951171875,1721.800048828125,1724.199951171875,5116
2022-09-06 06:00:00,1723.5999755859375,1723.9000244140625,1721.4000244140625,1722.0,4239
2022-09-06 07:00:00,1725.300048828125,1725.4000244140625,1722.4000244140625,1723.4000244140625,5850
2022-09-06 08:00:00,1718.300048828125,1725.699951171875,1716.699951171875,1725.300048828125,13298
2022-09-06 09:00:00,1719.5,1722.5,1715.4000244140625,1718.4000244140625,16862
2022-09-06 10:00:00,1714.5,1720.5999755859375,1713.0,1719.5,22571
2022-09-06 11:00:00,1714.0,1718.0999755859375,1712.0999755859375,1714.4000244140625,12330
2022-09-06 12:00:00,1712.4000244140625,1715.5999755859375,1711.9000244140625,1714.0,9289
2022-09-06 13:00:00,1711.800048828125,1714.5,1711.300048828125,1712.300048828125,8183
2022-09-06 14:00:00,1710.5999755859375,1712.699951171875,1710.5999755859375,1711.800048828125,3945
2022-09-06 15:00:00,1710.800048828125,1713.0,1710.5999755859375,1710.699951171875,3627
2022-09-06 16:00:00,1712.9000244140625,1713.0,1710.800048828125,1710.9000244140625,1439
2022-09-06 18:00:00,1711.199951171875,1713.199951171875,1711.0999755859375,1712.9000244140625,0
2022-09-06 19:00:00,1714.0,1714.4000244140625,1710.699951171875,1711.199951171875,1962
2022-09-06 20:00:00,1707.0999755859375,1714.300048828125,1703.300048828125,1714.0,8163
2022-09-06 21:00:00,1707.5999755859375,1709.5,1705.300048828125,1707.0,3766
2022-09-06 22:00:00,1705.699951171875,1708.4000244140625,1705.0999755859375,1707.699951171875,2912
2022-09-06 23:00:00,1703.9000244140625,1706.4000244140625,1703.0999755859375,1705.699951171875,3481
2022-09-07 00:00:00,1704.199951171875,1705.300048828125,1701.699951171875,1703.800048828125,4172
2022-09-07 01:00:00,1706.5,1706.699951171875,1704.0,1704.300048828125,2845
2022-09-07 02:00:00,1709.800048828125,1710.4000244140625,1704.5999755859375,1706.5,6271
2022-09-07 03:00:00,1714.0,1714.5999755859375,1707.199951171875,1709.800048828125,9410
2022-09-07 04:00:00,1715.0999755859375,1716.300048828125,1712.5,1714.0,8690
2022-09-07 05:00:00,1717.800048828125,1718.199951171875,1715.0,1715.0999755859375,6026
2022-09-07 06:00:00,1713.5999755859375,1718.0999755859375,1713.5,1717.800048828125,6314
2022-09-07 07:00:00,1711.800048828125,1715.0999755859375,1711.0,1713.5999755859375,7319
2022-09-07 08:00:00,1711.0,1715.0,1709.699951171875,1711.800048828125,13127
2022-09-07 09:00:00,1714.699951171875,1715.0999755859375,1707.5999755859375,1710.9000244140625,16342
2022-09-07 10:00:00,1722.699951171875,1724.5999755859375,1712.9000244140625,1714.800048828125,23369
2022-09-07 11:00:00,1721.800048828125,1724.5999755859375,1720.699951171875,1722.800048828125,10656
2022-09-07 12:00:00,1726.199951171875,1726.300048828125,1720.800048828125,1721.699951171875,7573
2022-09-07 13:00:00,1728.300048828125,1730.699951171875,1725.4000244140625,1726.199951171875,12828
2022-09-07 14:00:00,1726.199951171875,1728.5,1725.5,1728.300048828125,5204
2022-09-07 15:00:00,1728.9000244140625,1729.199951171875,1725.699951171875,1726.199951171875,5786
2022-09-07 16:00:00,1729.5,1731.199951171875,1727.9000244140625,1728.699951171875,2617
2022-09-07 18:00:00,1729.4000244140625,1730.699951171875,1729.0,1729.5,0
2022-09-07 19:00:00,1727.699951171875,1729.4000244140625,1727.300048828125,1729.4000244140625,1958
2022-09-07 20:00:00,1726.699951171875,1728.5,1726.5999755859375,1727.699951171875,3053
2022-09-07 21:00:00,1726.699951171875,1730.5999755859375,1726.4000244140625,1726.699951171875,4607
